<MATCH_ID> 25724 <TEAM> VC NAGANO TRIDENTS <SET> 0 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25716 <TEAM> TORAY ARROWS <SET> 2 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25716 <TEAM> TORAY ARROWS <SET> 3 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25725 <TEAM> VC NAGANO TRIDENTS <SET> 0 <VALUE> 5 <PERM> ('MB', 'OH', 'S', 'MB', 'OH', 'O')
<MATCH_ID> 25725 <TEAM> VC NAGANO TRIDENTS <SET> 1 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 25725 <TEAM> VC NAGANO TRIDENTS <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25719 <TEAM> F.C.TOKYO <SET> 0 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25719 <TEAM> F.C.TOKYO <SET> 1 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25719 <TEAM> F.C.TOKYO <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25719 <TEAM> F.C.TOKYO <SET> 3 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25723 <TEAM> SUNTORY Sunbirds <SET> 0 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 25723 <TEAM> SUNTORY Sunbirds <SET> 1 <VALUE> 5 <PERM> ('S', 'MB', 'OH', 'O', 'MB', 'OH')
<MATCH_ID> 25723 <TEAM> SUNTORY Sunbirds <SET> 2 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 25723 <TEAM> SUNTORY Sunbirds <SET> 3 <VALUE> 5 <PERM> ('S', 'MB', 'OH', 'O', 'MB', 'OH')
<MATCH_ID> 25717 <TEAM> TORAY ARROWS <SET> 0 <VALUE> 5 <PERM> ('S', 'MB', 'OH', 'O', 'MB', 'OH')
<MATCH_ID> 25717 <TEAM> TORAY ARROWS <SET> 1 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 25717 <TEAM> TORAY ARROWS <SET> 2 <VALUE> 5 <PERM> ('S', 'MB', 'OH', 'O', 'MB', 'OH')
<MATCH_ID> 25717 <TEAM> TORAY ARROWS <SET> 3 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 25717 <TEAM> TORAY ARROWS <SET> 4 <VALUE> 5 <PERM> ('S', 'MB', 'OH', 'O', 'MB', 'OH')
<MATCH_ID> 25734 <TEAM> F.C.TOKYO <SET> 0 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25734 <TEAM> F.C.TOKYO <SET> 1 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25734 <TEAM> F.C.TOKYO <SET> 2 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25728 <TEAM> SUNTORY Sunbirds <SET> 0 <VALUE> 5 <PERM> ('S', 'MB', 'OH', 'O', 'MB', 'OH')
<MATCH_ID> 25728 <TEAM> SUNTORY Sunbirds <SET> 1 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 25728 <TEAM> SUNTORY Sunbirds <SET> 2 <VALUE> 5 <PERM> ('S', 'MB', 'OH', 'O', 'MB', 'OH')
<MATCH_ID> 25728 <TEAM> SUNTORY Sunbirds <SET> 3 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 25735 <TEAM> F.C.TOKYO <SET> 0 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25735 <TEAM> F.C.TOKYO <SET> 1 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25735 <TEAM> F.C.TOKYO <SET> 2 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25730 <TEAM> SUNTORY Sunbirds <SET> 0 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25730 <TEAM> SUNTORY Sunbirds <SET> 1 <VALUE> 5 <PERM> ('MB', 'OH', 'S', 'MB', 'OH', 'O')
<MATCH_ID> 25730 <TEAM> SUNTORY Sunbirds <SET> 2 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 25730 <TEAM> SUNTORY Sunbirds <SET> 3 <VALUE> 5 <PERM> ('S', 'MB', 'OH', 'O', 'MB', 'OH')
<MATCH_ID> 25730 <TEAM> SUNTORY Sunbirds <SET> 4 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 25736 <TEAM> F.C.TOKYO <SET> 0 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25736 <TEAM> F.C.TOKYO <SET> 1 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25736 <TEAM> F.C.TOKYO <SET> 2 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25738 <TEAM> F.C.TOKYO <SET> 0 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25738 <TEAM> F.C.TOKYO <SET> 1 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25738 <TEAM> F.C.TOKYO <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25748 <TEAM> F.C.TOKYO <SET> 0 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25748 <TEAM> F.C.TOKYO <SET> 1 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25748 <TEAM> F.C.TOKYO <SET> 2 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25748 <TEAM> F.C.TOKYO <SET> 3 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25750 <TEAM> Panasonic PANTHERS <SET> 3 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25749 <TEAM> F.C.TOKYO <SET> 0 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 25749 <TEAM> F.C.TOKYO <SET> 1 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25749 <TEAM> F.C.TOKYO <SET> 2 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 25749 <TEAM> F.C.TOKYO <SET> 3 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25749 <TEAM> F.C.TOKYO <SET> 4 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 25755 <TEAM> SAKAI Blazers <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25755 <TEAM> SAKAI Blazers <SET> 3 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25755 <TEAM> JT Thunders HIROSHIMA <SET> 0 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 25755 <TEAM> JT Thunders HIROSHIMA <SET> 1 <VALUE> 5 <PERM> ('MB', 'OH', 'S', 'MB', 'OH', 'O')
<MATCH_ID> 25755 <TEAM> JT Thunders HIROSHIMA <SET> 2 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 25755 <TEAM> JT Thunders HIROSHIMA <SET> 3 <VALUE> 5 <PERM> ('MB', 'OH', 'S', 'MB', 'OH', 'O')
<MATCH_ID> 25764 <TEAM> JT Thunders HIROSHIMA <SET> 0 <VALUE> 5 <PERM> ('MB', 'OH', 'S', 'MB', 'OH', 'O')
<MATCH_ID> 25764 <TEAM> JT Thunders HIROSHIMA <SET> 1 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25764 <TEAM> JT Thunders HIROSHIMA <SET> 2 <VALUE> 5 <PERM> ('MB', 'OH', 'S', 'MB', 'OH', 'O')
<MATCH_ID> 25764 <TEAM> JT Thunders HIROSHIMA <SET> 3 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25764 <TEAM> JT Thunders HIROSHIMA <SET> 4 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25756 <TEAM> F.C.TOKYO <SET> 0 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25756 <TEAM> F.C.TOKYO <SET> 1 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25756 <TEAM> F.C.TOKYO <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25756 <TEAM> F.C.TOKYO <SET> 3 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25765 <TEAM> JT Thunders HIROSHIMA <SET> 0 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25765 <TEAM> JT Thunders HIROSHIMA <SET> 1 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25765 <TEAM> JT Thunders HIROSHIMA <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25765 <TEAM> JT Thunders HIROSHIMA <SET> 3 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25758 <TEAM> F.C.TOKYO <SET> 0 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25758 <TEAM> F.C.TOKYO <SET> 1 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25758 <TEAM> F.C.TOKYO <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25758 <TEAM> F.C.TOKYO <SET> 3 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25758 <TEAM> F.C.TOKYO <SET> 4 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25766 <TEAM> SUNTORY Sunbirds <SET> 4 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25766 <TEAM> JT Thunders HIROSHIMA <SET> 0 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25766 <TEAM> JT Thunders HIROSHIMA <SET> 1 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25766 <TEAM> JT Thunders HIROSHIMA <SET> 2 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25766 <TEAM> JT Thunders HIROSHIMA <SET> 3 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25766 <TEAM> JT Thunders HIROSHIMA <SET> 4 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25772 <TEAM> Panasonic PANTHERS <SET> 0 <VALUE> 5 <PERM> ('MB', 'OH', 'S', 'MB', 'OH', 'O')
<MATCH_ID> 25772 <TEAM> Panasonic PANTHERS <SET> 1 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25772 <TEAM> Panasonic PANTHERS <SET> 2 <VALUE> 5 <PERM> ('MB', 'OH', 'S', 'MB', 'OH', 'O')
<MATCH_ID> 25767 <TEAM> JT Thunders HIROSHIMA <SET> 0 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25767 <TEAM> JT Thunders HIROSHIMA <SET> 1 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25767 <TEAM> JT Thunders HIROSHIMA <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25769 <TEAM> F.C.TOKYO <SET> 0 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25769 <TEAM> F.C.TOKYO <SET> 1 <VALUE> 5 <PERM> ('MB', 'OH', 'S', 'MB', 'OH', 'O')
<MATCH_ID> 25769 <TEAM> F.C.TOKYO <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25773 <TEAM> Panasonic PANTHERS <SET> 0 <VALUE> 5 <PERM> ('MB', 'OH', 'S', 'MB', 'OH', 'O')
<MATCH_ID> 25773 <TEAM> Panasonic PANTHERS <SET> 1 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25773 <TEAM> Panasonic PANTHERS <SET> 2 <VALUE> 5 <PERM> ('MB', 'OH', 'S', 'MB', 'OH', 'O')
<MATCH_ID> 25773 <TEAM> Panasonic PANTHERS <SET> 3 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 25773 <TEAM> Panasonic PANTHERS <SET> 4 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25771 <TEAM> F.C.TOKYO <SET> 0 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 25771 <TEAM> F.C.TOKYO <SET> 1 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25771 <TEAM> F.C.TOKYO <SET> 2 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 25771 <TEAM> F.C.TOKYO <SET> 3 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25771 <TEAM> F.C.TOKYO <SET> 4 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 25780 <TEAM> F.C.TOKYO <SET> 0 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25780 <TEAM> F.C.TOKYO <SET> 1 <VALUE> 5 <PERM> ('MB', 'OH', 'S', 'MB', 'OH', 'O')
<MATCH_ID> 25780 <TEAM> F.C.TOKYO <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25780 <TEAM> F.C.TOKYO <SET> 3 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25780 <TEAM> F.C.TOKYO <SET> 4 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25782 <TEAM> Panasonic PANTHERS <SET> 0 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25782 <TEAM> Panasonic PANTHERS <SET> 1 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25782 <TEAM> Panasonic PANTHERS <SET> 2 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 25782 <TEAM> Panasonic PANTHERS <SET> 3 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25782 <TEAM> Panasonic PANTHERS <SET> 4 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25781 <TEAM> F.C.TOKYO <SET> 0 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25781 <TEAM> F.C.TOKYO <SET> 1 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25781 <TEAM> F.C.TOKYO <SET> 3 <VALUE> 5 <PERM> ('MB', 'OH', 'S', 'MB', 'OH', 'O')
<MATCH_ID> 25781 <TEAM> F.C.TOKYO <SET> 4 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25781 <TEAM> VC NAGANO TRIDENTS <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25781 <TEAM> VC NAGANO TRIDENTS <SET> 4 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25785 <TEAM> SAKAI Blazers <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25785 <TEAM> SAKAI Blazers <SET> 3 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25783 <TEAM> JT Thunders HIROSHIMA <SET> 0 <VALUE> 5 <PERM> ('MB', 'OH', 'S', 'MB', 'OH', 'O')
<MATCH_ID> 25783 <TEAM> JT Thunders HIROSHIMA <SET> 1 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25783 <TEAM> JT Thunders HIROSHIMA <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25783 <TEAM> Panasonic PANTHERS <SET> 0 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25783 <TEAM> Panasonic PANTHERS <SET> 1 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25783 <TEAM> Panasonic PANTHERS <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 26655 <TEAM> F.C.TOKYO <SET> 0 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 26655 <TEAM> F.C.TOKYO <SET> 2 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 26656 <TEAM> F.C.TOKYO <SET> 0 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 26656 <TEAM> F.C.TOKYO <SET> 1 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 26656 <TEAM> F.C.TOKYO <SET> 2 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 26656 <TEAM> F.C.TOKYO <SET> 3 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 26656 <TEAM> Panasonic PANTHERS <SET> 2 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 26656 <TEAM> Panasonic PANTHERS <SET> 3 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25798 <TEAM> F.C.TOKYO <SET> 0 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25798 <TEAM> F.C.TOKYO <SET> 1 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25798 <TEAM> F.C.TOKYO <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25802 <TEAM> Panasonic PANTHERS <SET> 3 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 25799 <TEAM> F.C.TOKYO <SET> 0 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25799 <TEAM> F.C.TOKYO <SET> 1 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25799 <TEAM> F.C.TOKYO <SET> 2 <VALUE> 5 <PERM> ('MB', 'OH', 'S', 'MB', 'OH', 'O')
<MATCH_ID> 25799 <TEAM> F.C.TOKYO <SET> 3 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25803 <TEAM> Panasonic PANTHERS <SET> 0 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 25803 <TEAM> Panasonic PANTHERS <SET> 1 <VALUE> 5 <PERM> ('S', 'MB', 'OH', 'O', 'MB', 'OH')
<MATCH_ID> 25803 <TEAM> Panasonic PANTHERS <SET> 2 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 25814 <TEAM> F.C.TOKYO <SET> 0 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25815 <TEAM> F.C.TOKYO <SET> 0 <VALUE> 5 <PERM> ('MB', 'OH', 'S', 'MB', 'OH', 'O')
<MATCH_ID> 25815 <TEAM> F.C.TOKYO <SET> 1 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25815 <TEAM> F.C.TOKYO <SET> 2 <VALUE> 5 <PERM> ('MB', 'OH', 'S', 'MB', 'OH', 'O')
<MATCH_ID> 25815 <TEAM> F.C.TOKYO <SET> 3 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25815 <TEAM> F.C.TOKYO <SET> 4 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25813 <TEAM> Panasonic PANTHERS <SET> 2 <VALUE> 5 <PERM> ('MB', 'OH', 'S', 'MB', 'OH', 'O')
<MATCH_ID> 25813 <TEAM> Panasonic PANTHERS <SET> 3 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25820 <TEAM> F.C.TOKYO <SET> 0 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25820 <TEAM> F.C.TOKYO <SET> 1 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25820 <TEAM> F.C.TOKYO <SET> 2 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25820 <TEAM> F.C.TOKYO <SET> 3 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25820 <TEAM> F.C.TOKYO <SET> 4 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25832 <TEAM> Panasonic PANTHERS <SET> 1 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25832 <TEAM> Panasonic PANTHERS <SET> 2 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 25832 <TEAM> Panasonic PANTHERS <SET> 3 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 25828 <TEAM> F.C.TOKYO <SET> 0 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
